G141 grating,
Wavelength,Transmission
,
1.0968,2.64E-01
1.0969,2.64E-01
1.0970,2.65E-01
1.0971,2.66E-01
1.0972,2.67E-01
1.0973,2.68E-01
1.0974,2.68E-01
1.0975,2.69E-01
1.0976,2.70E-01
1.0977,2.71E-01
1.0978,2.72E-01
1.0979,2.72E-01
1.0980,2.73E-01
1.0981,2.74E-01
1.0982,2.75E-01
1.0983,2.76E-01
1.0984,2.76E-01
1.0985,2.77E-01
1.0986,2.78E-01
1.0987,2.79E-01
1.0988,2.80E-01
1.0989,2.81E-01
1.0990,2.81E-01
1.0991,2.82E-01
1.0992,2.83E-01
1.0993,2.84E-01
1.0994,2.85E-01
1.0995,2.86E-01
1.0996,2.87E-01
1.0997,2.88E-01
1.0998,2.88E-01
1.0999,2.89E-01
1.1000,2.90E-01
1.1001,2.91E-01
1.1002,2.92E-01
1.1003,2.93E-01
1.1004,2.94E-01
1.1005,2.95E-01
1.1006,2.96E-01
1.1007,2.97E-01
1.1008,2.97E-01
1.1009,2.98E-01
1.1010,2.99E-01
1.1011,3.00E-01
1.1012,3.01E-01
1.1013,3.02E-01
1.1014,3.03E-01
1.1015,3.04E-01
1.1016,3.05E-01
1.1017,3.06E-01
1.1018,3.07E-01
1.1019,3.08E-01
1.1020,3.09E-01
1.1021,3.10E-01
1.1022,3.11E-01
1.1023,3.12E-01
1.1024,3.12E-01
1.1025,3.13E-01
1.1026,3.14E-01
1.1027,3.15E-01
1.1028,3.16E-01
1.1029,3.17E-01
1.1030,3.18E-01
1.1031,3.19E-01
1.1032,3.20E-01
1.1033,3.21E-01
1.1034,3.22E-01
1.1035,3.23E-01
1.1036,3.24E-01
1.1037,3.25E-01
1.1038,3.26E-01
1.1039,3.27E-01
1.1040,3.27E-01
1.1041,3.28E-01
1.1042,3.29E-01
1.1043,3.30E-01
1.1044,3.31E-01
1.1045,3.32E-01
1.1046,3.33E-01
1.1047,3.34E-01
1.1048,3.35E-01
1.1049,3.36E-01
1.1050,3.37E-01
1.1051,3.38E-01
1.1052,3.39E-01
1.1053,3.39E-01
1.1054,3.40E-01
1.1055,3.41E-01
1.1056,3.42E-01
1.1057,3.43E-01
1.1058,3.44E-01
1.1059,3.45E-01
1.1060,3.46E-01
1.1061,3.47E-01
1.1062,3.48E-01
1.1063,3.49E-01
1.1064,3.50E-01
1.1065,3.51E-01
1.1066,3.51E-01
1.1067,3.52E-01
1.1068,3.53E-01
1.1069,3.54E-01
1.1070,3.55E-01
1.1071,3.56E-01
1.1072,3.57E-01
1.1073,3.58E-01
1.1074,3.59E-01
1.1075,3.60E-01
1.1076,3.61E-01
1.1077,3.62E-01
1.1078,3.62E-01
1.1079,3.63E-01
1.1080,3.64E-01
1.1081,3.65E-01
