# wl, TX, emissivity
5.12,0.90,0.03
5.13,0.90,0.03
5.13,0.90,0.03
5.14,0.90,0.03
5.14,0.90,0.03
5.15,0.90,0.03
5.15,0.90,0.03
5.16,0.90,0.03
5.16,0.90,0.03
5.17,0.90,0.03
5.17,0.90,0.03
5.18,0.90,0.03
5.18,0.90,0.03
5.19,0.90,0.03
5.19,0.90,0.03
5.20,0.90,0.03
5.20,0.90,0.03
5.21,0.90,0.03
5.21,0.90,0.03
5.22,0.90,0.03
5.22,0.90,0.03
5.23,0.90,0.03
5.23,0.90,0.03
5.24,0.90,0.03
5.24,0.90,0.03
5.25,0.90,0.03
5.25,0.90,0.03
5.26,0.90,0.03
5.26,0.90,0.03
5.27,0.90,0.03
5.27,0.90,0.03
5.28,0.90,0.03
5.28,0.90,0.03
5.29,0.90,0.03
5.29,0.90,0.03
5.30,0.90,0.03
5.30,0.90,0.03
5.31,0.90,0.03
5.31,0.90,0.03
5.32,0.90,0.03
5.32,0.90,0.03
5.33,0.90,0.03
5.33,0.90,0.03
5.34,0.90,0.03
5.34,0.90,0.03
5.35,0.90,0.03
5.35,0.90,0.03
5.36,0.90,0.03
5.36,0.90,0.03
5.37,0.90,0.03
5.37,0.90,0.03
5.38,0.90,0.03
5.38,0.90,0.03
5.39,0.90,0.03
5.39,0.90,0.03
5.40,0.90,0.03
5.40,0.90,0.03
5.41,0.90,0.03
5.41,0.90,0.03
5.42,0.90,0.03
5.42,0.90,0.03
5.43,0.90,0.03
5.43,0.90,0.03
5.44,0.90,0.03
5.44,0.90,0.03
5.45,0.90,0.03
5.45,0.90,0.03
5.46,0.90,0.03
5.46,0.90,0.03
5.47,0.90,0.03
5.47,0.90,0.03
5.48,0.90,0.03
5.48,0.90,0.03
5.49,0.90,0.03
5.49,0.90,0.03
5.50,0.90,0.03
5.50,0.90,0.03
5.51,0.90,0.03
5.51,0.90,0.03
5.52,0.90,0.03
5.52,0.90,0.03
5.53,0.90,0.03
5.53,0.90,0.03
5.54,0.90,0.03
5.54,0.90,0.03
5.55,0.90,0.03
5.55,0.90,0.03
5.56,0.90,0.03
5.56,0.90,0.03
5.57,0.90,0.03
5.57,0.90,0.03
5.58,0.90,0.03
5.58,0.90,0.03
5.59,0.90,0.03
5.59,0.90,0.03
5.60,0.90,0.03
5.60,0.90,0.03
5.61,0.90,0.03
5.61,0.90,0.03
5.62,0.90,0.03
5.62,0.90,0.03
5.63,0.90,0.03
5.63,0.90,0.03
5.64,0.90,0.03
5.64,0.90,0.03
5.65,0.90,0.03
5.65,0.90,0.03
5.66,0.90,0.03
5.66,0.90,0.03
5.67,0.90,0.03
5.67,0.90,0.03
5.68,0.90,0.03
5.68,0.90,0.03
5.69,0.90,0.03
5.69,0.90,0.03
5.70,0.90,0.03
5.70,0.90,0.03
5.71,0.90,0.03
5.71,0.90,0.03
5.72,0.90,0.03
5.72,0.90,0.03
5.73,0.90,0.03
5.73,0.90,0.03
5.74,0.90,0.03
5.74,0.90,0.03
5.75,0.90,0.03
5.75,0.90,0.03
5.76,0.90,0.03
5.76,0.90,0.03
5.77,0.90,0.03
5.77,0.90,0.03
5.78,0.90,0.03
5.78,0.90,0.03
5.79,0.90,0.03
5.79,0.90,0.03
5.80,0.90,0.03
5.80,0.90,0.03
5.81,0.90,0.03
5.81,0.90,0.03
5.82,0.90,0.03
5.82,0.90,0.03
5.83,0.90,0.03
5.83,0.90,0.03
5.84,0.90,0.03
5.84,0.90,0.03
5.85,0.90,0.03
5.85,0.90,0.03
5.86,0.90,0.03
5.86,0.90,0.03
5.87,0.90,0.03
5.87,0.90,0.03
5.88,0.90,0.03
5.88,0.90,0.03
5.89,0.90,0.03
5.89,0.90,0.03
5.90,0.90,0.03
5.90,0.90,0.03
5.91,0.90,0.03
5.91,0.90,0.03
5.92,0.90,0.03
5.92,0.90,0.03
