# lambda [um], beta [deg], x [micron]
2.955000e+00,9.014137e-01,8.968343e+02
2.960000e+00,9.005376e-01,8.959625e+02
2.965000e+00,8.996601e-01,8.950893e+02
2.970000e+00,8.987812e-01,8.942147e+02
2.975000e+00,8.979009e-01,8.933388e+02
2.980000e+00,8.970192e-01,8.924614e+02
2.985000e+00,8.961361e-01,8.915826e+02
2.990000e+00,8.952516e-01,8.907025e+02
2.995000e+00,8.943657e-01,8.898209e+02
3.000000e+00,8.934784e-01,8.889380e+02
3.005000e+00,8.925896e-01,8.880536e+02
3.010000e+00,8.916995e-01,8.871679e+02
3.015000e+00,8.908080e-01,8.862807e+02
3.020000e+00,8.899150e-01,8.853922e+02
3.025000e+00,8.890207e-01,8.845022e+02
3.030000e+00,8.881249e-01,8.836109e+02
3.035000e+00,8.872277e-01,8.827181e+02
3.040000e+00,8.863291e-01,8.818240e+02
3.045000e+00,8.854291e-01,8.809284e+02
3.050000e+00,8.845277e-01,8.800314e+02
3.055000e+00,8.836249e-01,8.791330e+02
3.060000e+00,8.827206e-01,8.782332e+02
3.065000e+00,8.818150e-01,8.773320e+02
3.070000e+00,8.809079e-01,8.764294e+02
3.075000e+00,8.799994e-01,8.755254e+02
3.080000e+00,8.790894e-01,8.746199e+02
3.085000e+00,8.781781e-01,8.737130e+02
3.090000e+00,8.772653e-01,8.728048e+02
3.095000e+00,8.763511e-01,8.718951e+02
3.100000e+00,8.754355e-01,8.709840e+02
3.105000e+00,8.745184e-01,8.700714e+02
3.110000e+00,8.735999e-01,8.691575e+02
3.115000e+00,8.726800e-01,8.682421e+02
3.120000e+00,8.717587e-01,8.673253e+02
3.125000e+00,8.708360e-01,8.664071e+02
3.130000e+00,8.699118e-01,8.654875e+02
3.135000e+00,8.689862e-01,8.645665e+02
3.140000e+00,8.680591e-01,8.636440e+02
3.145000e+00,8.671306e-01,8.627201e+02
3.150000e+00,8.662007e-01,8.617948e+02
3.155000e+00,8.652694e-01,8.608680e+02
3.160000e+00,8.643366e-01,8.599398e+02
3.165000e+00,8.634024e-01,8.590102e+02
3.170000e+00,8.624667e-01,8.580792e+02
3.175000e+00,8.615296e-01,8.571467e+02
3.180000e+00,8.605911e-01,8.562128e+02
3.185000e+00,8.596511e-01,8.552775e+02
3.190000e+00,8.587097e-01,8.543407e+02
3.195000e+00,8.577669e-01,8.534025e+02
3.200000e+00,8.568226e-01,8.524629e+02
3.205000e+00,8.558768e-01,8.515219e+02
3.210000e+00,8.549297e-01,8.505794e+02
3.215000e+00,8.539810e-01,8.496354e+02
3.220000e+00,8.530310e-01,8.486901e+02
3.225000e+00,8.520795e-01,8.477432e+02
3.230000e+00,8.511265e-01,8.467950e+02
3.235000e+00,8.501721e-01,8.458453e+02
3.240000e+00,8.492163e-01,8.448942e+02
3.245000e+00,8.482589e-01,8.439416e+02
3.250000e+00,8.473002e-01,8.429876e+02
3.255000e+00,8.463400e-01,8.420322e+02
3.260000e+00,8.453783e-01,8.410753e+02
3.265000e+00,8.444152e-01,8.401169e+02
3.270000e+00,8.434507e-01,8.391571e+02
3.275000e+00,8.424847e-01,8.381959e+02
3.280000e+00,8.415172e-01,8.372332e+02
3.285000e+00,8.405483e-01,8.362691e+02
